Designator,Quantity,Digikey Part Number,Manufacturer 1,Manufacturer Part Number 1

"C1, C4, C7, C17","4","490-4765-1-ND","Murata Electronics","GCM155R72A472KA37D"
"C2","1","311-3623-1-ND","YAGEO","CC0402KRX7R8BB332"
"C3","1","1276-3389-1-ND","Samsung Electro-Mechanics","CL32B106KLJNNNE"
"C5","1","1276-3148-1-ND","Samsung Electro-Mechanics","CL31B226MPHNNNE"
"C6, C8","2","1276-1066-1-ND","Samsung Electro-Mechanics","CL21B105KAFNNNE"
"C9","1","1276-1482-1-ND","Samsung Electro-Mechanics","CL05A475MP5NRNC"
"C10, C12, C15, C16, C18, C19, C20, C23, C24, C27, C28","11","1276-1002-1-ND","Samsung Electro-Mechanics","CL05B104KP5NNNC"
"C11, C21, C22, C25, C26","5","1276-1076-1-ND","Samsung Electro-Mechanics","CL05A105KP5NNNC"
"C13, C14","2","490-GJM1555C1H160FB01JCT-ND","Murata Electronics","GJM1555C1H160FB01J"
"D1, D9, D10, D11, D12","5","732-4978-1-ND","Würth Elektronik","150060RS75000"
"D2","1","296-ESD2CANFD24DBZRQ1CT-ND","Texas Instruments","ESD2CANFD24DBZRQ1"
"D3","1","150-LSM115JE3/TR13CT-ND","Microchip Technology","LSM115JE3/TR13"
"D4","1","1727-3884-1-ND","Nexperia USA Inc.","PRTR5V0U2X,215"
"D5, D6","2","732-4980-1-ND","Würth Elektronik","150060VS75000"
"D7, D8","2","732-4981-1-ND","Würth Elektronik","150060YS75000"
"FB1","1","490-1006-1-ND","Murata Electronics","BLM15AG601SN1D"
"J1, J3, J4","3","WM1922-ND","Molex","43650-0216"
"J5","1","609-3712-ND","Amphenol ICC (FCI)","20021111-00010T4LF"
"J6","1","WM9734CT-ND","Molex","1051330001"
"J7, J8, J9, J10","4","WM1923-ND","Molex","436500316"
"Q1","1","DMP3099L-7DICT-ND","Diodes Incorporated","DMP3099L-7"
"R1, R11","2","311-750LRCT-ND","YAGEO","RC0402FR-07750RL"
"R2","1","YAG3012CT-ND","YAGEO","RC0402FR-0717K8L"
"R3, R4, R5, R33, R34","5","311-3.30KLRCT-ND","YAGEO","RC0402FR-073K3L"
"R6, R19, R20, R22, R26, R27, R29, R31","8","311-0.0JRCT-ND","YAGEO","RC0402JR-070RL"
"R9, R10","2","311-60.4LRCT-ND","YAGEO","RC0402FR-0760R4L"
"R12, R13, R14, R15, R16, R17, R18","7","311-330LRCT-ND","YAGEO","RC0402FR-07330RL"
"R21, R28","2","311-5.10KLRCT-ND","YAGEO","RC0402FR-075K1L"
"R23, R25, R30, R32","4","YAG1388CT-ND","YAGEO","RT0402BRD0720KL"
"R24","1","YAG2303CT-ND","YAGEO","RT0402BRD072KL"
"SW1","1","CKN10723CT-ND","C&K","JS202011JCQN"
"SW2, SW3","2","CKN10502CT-ND","C&K","PTS810 SJM 250 SMTR LFS"
"TP1, TP2, TP5, TP6, TP7, TP8, TP12, TP13, TP15","9","","",""
"U1","1","296-TPS259621DDATCT-ND","Texas Instruments","TPS259621DDAT"
"U2","1","AZ1117IH-5.0TRG1DICT-ND","Diodes Incorporated",""
"U3","1","NCV8163ASN330T1GOSCT-ND","onsemi","NCV8163ASN330T1G"
"U4","1","497-STM32G0B1CBT6-ND","STMicroelectronics","STM32G0B1CBT6"
"U5","1","568-8684-1-ND","NXP USA Inc.","TJA1051T/3,118"
"U6, U7","2","576-3964-1-ND","Microchip Technology","MIC2090-2YM5-TR"
"U8","1","497-8552-1-ND","STMicroelectronics","M24C02-WMN6TP"
"Y1","1","50-ECS-80-18-33-JGN-CT-ND","ECS Inc.","ECS-80-18-33-JGN-TR"
